danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,label
0.809,0.773,11,-3.638,0,0.0437,0.0145,1.21e-06,0.0876,0.695,114.842,1eV2FGbbyxCJ6xaLqBRiFW,4,saved
0.363,0.488,10,-9.122,1,0.0454,0.755,6.57e-05,0.162,0.356,94.401,0ZfWauUmcVki44DcPqoLpW,4,saved
0.568,0.871,0,-3.453,1,0.0308,0.0553,0.51,0.303,0.374,119.99,2Kt1XplPBQBsDKQDa6TssB,4,saved
0.767,0.717,10,-5.836,0,0.364,0.3,0.0,0.223,0.494,135.994,1N0VXvVxSoMp66StV03Opo,4,saved
0.522,0.428,11,-11.332,0,0.143,0.235,2.35e-06,0.278,0.399,129.829,1gGsNNUfvVMOv4llVMg8Vg,4,saved
0.677,0.855,10,-4.517,0,0.247,0.038,0.0,0.103,0.483,74.965,56MEOTVPxqmmVTIzr8dwjS,4,saved
0.415,0.11,1,-14.901,1,0.0388,0.951,0.00236,0.0962,0.234,81.876,0bZ52QzCCKfrfOqs7za6lI,4,saved
0.59,0.658,0,-7.561,1,0.109,0.111,0.0,0.295,0.294,188.11,0mpLgzSJXgezZHBd7UEzmU,4,saved
0.514,0.7,9,-8.478,0,0.0591,0.17,5.95e-05,0.164,0.305,85.021,2JrttSXqvhuac7ppgNrnl9,4,saved
0.707,0.619,4,-9.143,0,0.409,0.671,0.0,0.123,0.317,88.955,1DmnEYXa4WfbdhAPwNzgD8,4,saved
0.823,0.49,7,-8.391,1,0.429,0.0369,1.16e-06,0.0807,0.307,165.949,2uTG00P1DkhB97pdITkl2O,4,saved
0.39,0.54,3,-14.697,0,0.126,0.822,1.17e-06,0.947,0.617,73.038,3b3cIJOxdljXrfz3a3ffgK,3,saved
0.8,0.433,2,-11.118,0,0.125,0.0347,0.0,0.0965,0.357,111.999,79fZYYQkY4U8rMiomn7xw5,4,saved
0.513,0.25,5,-9.376,0,0.0367,0.913,0.0,0.117,0.351,74.103,44n97yHySt0Z9rqPaXgjCK,4,saved
0.538,0.449,1,-8.078,1,0.0463,0.344,0.0,0.157,0.27,132.639,5rgrBsAFYMun6yhtnLKRPz,4,saved
0.446,0.239,1,-15.327,1,0.0876,0.574,7.76e-05,0.12,0.31,104.675,4xKp0mZ2hY6eS0ii55KgKR,4,saved
0.381,0.652,10,-9.154,0,0.074,0.0372,0.0015,0.485,0.0598,144.001,4d9EoSASl257mRhS2oksDI,4,saved
0.553,0.556,5,-7.04,0,0.0347,0.224,0.00134,0.0915,0.219,147.84,4QpPbie2onyJvDLgchbUfk,4,saved
0.507,0.545,2,-7.209,1,0.43,0.25,0.0,0.239,0.392,78.461,03XfngWwNfhEjrnEga73Rg,4,saved
0.262,0.466,2,-9.785,1,0.0341,0.0621,0.0273,0.0913,0.254,85.522,5VwKEmrYEN5eAPvWqrrKS2,1,saved
0.642,0.91,10,-4.033,1,0.127,0.0381,0.000127,0.412,0.519,103.127,4NzZbRu1J9V5KrH2ZFs3O4,4,saved
0.649,0.558,4,-5.675,0,0.425,0.206,1.05e-06,0.156,0.15,75.087,0brzJEyCEVzjAQsCgCqxqb,4,saved
0.377,0.187,6,-13.915,0,0.0293,0.806,0.0,0.114,0.112,91.242,3s8WH1PfGlPKEmeJgCsoEk,4,saved
0.416,0.459,9,-6.814,0,0.0317,0.0801,0.00653,0.0551,0.286,164.929,1WQFOwtI6EfsvRz7wcDbQm,3,saved
0.656,0.884,2,-4.748,1,0.0372,0.0162,0.0,0.145,0.86,105.009,7pUYFGnZwLa7I3UmDypJGy,4,saved
0.469,0.417,8,-10.614,0,0.0704,0.418,0.000189,0.102,0.175,120.012,0NWqNXBJTpXbkI5rPWNy3p,4,saved
0.608,0.917,2,-5.993,0,0.27,0.167,1.39e-05,0.366,0.462,88.733,5E0ksdOzJS4WADfQw3b9u3,4,saved
0.868,0.636,5,-5.691,0,0.0391,0.233,0.0125,0.112,0.304,109.954,7b9h63I7EafcW2pVS9pcUr,4,saved
0.611,0.565,0,-5.843,1,0.178,0.249,0.0,0.149,0.578,173.875,0yBylQ4liLmENeK82vnHOb,4,saved
0.557,0.586,10,-4.57,1,0.0382,0.0528,7.33e-06,0.339,0.0681,96.091,3nAq2hCr1oWsIU54tS98pL,4,saved
0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,0afhq8XCExXpqazXczTSve,4,saved
0.705,0.505,8,-6.923,1,0.192,0.142,0.0,0.164,0.391,160.043,37F0uwRSrdzkBiuj0D5UHI,4,saved
0.404,0.587,9,-11.172,0,0.156,0.165,0.00267,0.231,0.103,120.047,1TSxLktSlIdEsjTGWB4Fub,4,saved
