danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,label,mode_major,mode_minor
0.513,0.728,6,-6.847,0.0347,0.0458,0.0,0.122,0.303,136.173,4,saved,1,0
0.797,0.861,6,-1.933,0.0492,0.0731,2.99e-06,0.0804,0.833,140.024,4,saved,0,1
0.707,0.484,9,-6.579,0.0481,0.891,0.00344,0.256,0.43,92.988,4,saved,0,1
0.681,0.283,5,-11.496,0.0296,0.781,0.00371,0.114,0.221,111.05,4,saved,1,0
0.812,0.535,4,-9.306,0.449,0.217,0.0,0.114,0.321,78.974,4,saved,1,0
0.851,0.614,5,-6.668,0.1,0.046,0.0,0.0716,0.429,107.971,4,saved,0,1
0.772,0.483,6,-10.06,0.0564,0.0521,0.000375,0.377,0.479,120.005,4,saved,0,1
0.557,0.586,10,-4.57,0.0382,0.0528,7.33e-06,0.339,0.0681,96.091,4,saved,1,0
0.414,0.23,2,-12.379,0.0406,0.942,0.0167,0.173,0.192,78.494,3,saved,0,1
0.575,0.603,2,-8.2,0.0376,0.101,0.0381,0.0858,0.12,107.947,4,saved,1,0
0.64,0.743,10,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035,4,saved,1,0
0.674,0.661,7,-7.973,0.0619,0.128,2.03e-05,0.283,0.458,95.966,4,saved,1,0
0.771,0.596,11,-4.086,0.0413,0.0379,0.0,0.169,0.0746,135.01,4,saved,1,0
0.334,0.402,6,-9.552,0.0355,0.234,1.88e-05,0.576,0.307,123.733,3,saved,0,1
0.707,0.693,2,-7.191,0.122,0.0854,0.000317,0.151,0.288,88.97,4,saved,1,0
0.801,0.543,5,-9.236,0.091,0.564,0.0,0.116,0.534,133.982,4,saved,1,0
0.497,0.697,9,-4.888,0.19,0.211,0.0,0.165,0.799,79.164,4,saved,0,1
0.307,0.625,5,-8.983,0.062,0.472,0.000577,0.144,0.183,180.467,3,saved,0,1
0.786,0.75,5,-5.137,0.0496,0.213,5.62e-06,0.0869,0.656,119.967,4,saved,1,0
0.553,0.657,1,-8.219,0.0405,0.335,0.000648,0.228,0.555,107.889,4,saved,1,0
0.459,0.623,1,-4.45,0.0489,0.352,0.0,0.131,0.205,126.018,4,saved,1,0
0.861,0.709,2,-6.14,0.259,0.0753,0.0,0.329,0.418,109.018,4,saved,1,0
0.571,0.354,3,-8.529,0.0534,0.334,0.0,0.179,0.36,141.502,4,saved,1,0
0.53,0.649,9,-7.463,0.0315,0.119,0.000514,0.0739,0.102,95.007,4,saved,1,0
0.703,0.327,2,-7.932,0.0489,0.592,0.292,0.112,0.128,149.742,4,saved,1,0
0.349,0.662,11,-6.873,0.0402,0.00197,0.908,0.136,0.554,169.926,4,saved,1,0
0.838,0.492,1,-5.69,0.038,0.251,0.0,0.262,0.895,115.092,4,saved,0,1
0.4,0.705,0,-5.238,0.0484,0.0167,0.0,0.115,0.294,90.047,3,saved,1,0
0.735,0.665,5,-5.933,0.0819,0.129,0.0,0.0803,0.593,102.018,4,saved,1,0
0.396,0.554,0,-5.048,0.0488,0.222,0.0,0.612,0.17,117.384,4,saved,1,0
0.886,0.592,5,-7.536,0.432,0.288,0.0,0.109,0.682,154.075,3,saved,0,1
0.779,0.799,9,-6.359,0.15,0.158,0.0,0.209,0.414,109.944,4,saved,1,0
0.345,0.227,4,-12.433,0.0281,0.727,3.98e-05,0.0902,0.311,100.579,3,saved,1,0
0.771,0.647,5,-5.127,0.376,0.294,0.0,0.37,0.678,155.914,4,saved,0,1
0.652,0.795,11,-5.192,0.174,0.156,0.0,0.123,0.788,135.018,4,saved,0,1
0.611,0.565,0,-5.843,0.178,0.249,0.0,0.149,0.578,173.875,4,saved,1,0
0.438,0.433,7,-7.662,0.0389,0.876,0.003,0.0995,0.436,200.689,3,saved,0,1
0.85,0.405,7,-7.509,0.225,0.119,0.000118,0.0707,0.344,139.976,4,saved,0,1
0.515,0.686,0,-6.258,0.0929,0.00324,0.505,0.0647,0.148,140.013,4,saved,1,0
0.54,0.253,5,-14.274,0.032,0.837,0.00139,0.117,0.32,171.949,4,saved,1,0
0.451,0.79,11,-4.261,0.0461,0.00807,0.0,0.0394,0.683,127.142,4,saved,0,1
0.387,0.773,8,-5.685,0.17,0.098,0.0,0.209,0.368,78.629,4,saved,1,0
0.526,0.632,6,-13.136,0.244,0.0237,0.672,0.118,0.25,95.024,4,saved,1,0
0.529,0.526,8,-7.731,0.276,0.403,0.0,0.128,0.733,82.482,4,saved,1,0
0.532,0.462,10,-10.71,0.03,0.279,0.196,0.101,0.485,80.001,4,saved,1,0
0.668,0.528,9,-5.909,0.0332,0.104,0.0,0.236,0.153,144.067,4,saved,1,0
0.53,0.884,0,-5.581,0.457,0.332,1.98e-06,0.355,0.28,87.194,4,saved,0,1
0.671,0.428,4,-7.054,0.124,0.682,0.0002,0.121,0.36,148.041,4,saved,0,1
0.925,0.443,1,-8.216,0.264,0.0172,0.0,0.276,0.35,136.078,4,saved,1,0
0.415,0.733,2,-8.585,0.426,0.383,0.916,0.0659,0.0946,81.199,4,saved,0,1
0.705,0.516,0,-5.77,0.119,0.583,0.0,0.078,0.421,115.761,4,saved,1,0
0.941,0.636,4,-7.779,0.123,0.704,1.22e-05,0.149,0.767,125.027,4,saved,0,1
0.73,0.638,6,-5.32,0.0336,0.0999,0.0,0.131,0.893,103.049,4,saved,0,1
0.642,0.52,9,-7.886,0.0387,0.118,0.000512,0.552,0.488,136.014,4,saved,1,0
0.766,0.739,1,-10.364,0.0805,0.0192,0.0794,0.229,0.185,118.005,4,saved,1,0
0.876,0.737,2,-6.533,0.291,0.192,2.16e-06,0.0907,0.711,146.031,4,saved,1,0
0.791,0.551,8,-6.074,0.359,0.215,0.0,0.0993,0.439,72.625,4,saved,1,0
0.761,0.61,6,-7.039,0.094,0.379,0.0,0.123,0.479,141.955,4,saved,1,0
0.832,0.427,8,-8.516,0.257,0.0474,0.0,0.101,0.369,99.935,4,saved,0,1
0.406,0.722,6,-7.865,0.393,0.14,0.0,0.393,0.198,85.003,4,saved,0,1
0.344,0.157,5,-11.773,0.0457,0.756,0.0,0.351,0.313,57.86,4,saved,1,0
0.214,0.156,6,-17.515,0.0443,0.951,0.00797,0.101,0.132,75.654,5,saved,0,1
0.672,0.711,1,-5.492,0.337,0.0793,0.0,0.76,0.518,140.058,4,saved,0,1
0.452,0.559,6,-7.848,0.0453,0.0481,1.69e-06,0.109,0.365,132.814,4,saved,1,0
0.65,0.52,1,-10.206,0.0413,0.00306,0.00553,0.112,0.401,89.999,4,saved,1,0
0.758,0.654,0,-7.097,0.116,0.00879,0.0258,0.0797,0.949,151.008,4,saved,1,0
0.656,0.606,1,-5.398,0.283,0.134,0.0,0.0921,0.614,140.01,4,saved,1,0
0.461,0.102,7,-13.05,0.0897,0.967,2.1e-06,0.164,0.259,71.835,4,saved,1,0
0.468,0.763,2,-6.267,0.35,0.134,6.52e-05,0.496,0.518,104.694,4,saved,1,0
0.636,0.8,11,-4.265,0.347,0.337,0.0,0.39,0.704,88.657,4,saved,0,1
0.456,0.692,2,-5.095,0.0485,0.447,0.0,0.587,0.57,112.796,4,saved,1,0
0.527,0.82,6,-5.855,0.0325,0.00157,1.88e-05,0.0882,0.25,120.041,4,saved,1,0
0.683,0.481,8,-9.174,0.075,0.191,0.736,0.0907,0.47,120.001,4,saved,0,1
0.415,0.11,1,-14.901,0.0388,0.951,0.00236,0.0962,0.234,81.876,4,saved,1,0
0.232,0.8,4,-6.853,0.0536,0.00082,0.0244,0.128,0.224,201.1,3,saved,0,1
0.548,0.829,1,-4.103,0.285,0.339,0.0,0.537,0.452,93.62,4,saved,0,1
0.557,0.61,1,-9.899,0.111,0.0691,0.0117,0.341,0.128,155.966,4,saved,1,0
0.398,0.952,4,-6.042,0.061,0.000373,7.75e-05,0.1,0.584,122.093,4,saved,1,0
0.929,0.598,1,-5.373,0.156,0.00705,0.0,0.0549,0.501,96.012,4,saved,1,0
0.413,0.557,9,-7.622,0.0346,0.1,0.105,0.218,0.0498,110.028,4,saved,0,1
0.397,0.172,6,-15.698,0.0445,0.841,6.78e-05,0.108,0.123,101.275,4,saved,0,1
0.913,0.391,6,-6.221,0.0654,0.271,1.39e-06,0.106,0.601,127.036,4,saved,0,1
0.55,0.404,0,-12.755,0.0398,0.441,0.00022,0.11,0.329,135.016,4,saved,0,1
0.926,0.427,10,-7.584,0.107,0.0703,0.00033,0.0818,0.305,96.023,4,saved,0,1
0.707,0.526,3,-7.513,0.203,0.0176,0.00012,0.112,0.0746,139.975,4,saved,1,0
0.537,0.945,6,-4.207,0.0344,0.0023,0.0,0.332,0.778,103.158,4,saved,0,1
